recno,Astrom,PNG,OName,GaiaEDR3,Group,RA_ICRS,DE_ICRS,Dang,Gmag,BP-RP,AV,(BP-RP)0,_RA_icrs,_DE_icrs,DR3Name,RAdeg,DEdeg,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),BP-RP_x,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,gmag_xa,e_gmag_x,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags,angDist_x,AllWISE,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,angDist_xa,PC1,PC2,PC3,Label
640, ,PN G055.2+02.8 ,Hen2-432,2018764096614237440,B,290.8534,21.1334,0.22,18.15,1.29,2.11,0.25,290.8534,21.1334,Gaia DR3 2018764096614237440,290.85335265745,21.13341593239,0.1031,0.1346,0.5171,0.2008,2.5748,-2.918,0.171,-4.691,0.199,18.150742,0.00453,47,5431.33,50.7889,106.939,16.001278,0.010529,45,10389.4,39.243,264.745,14.706422,0.005577,15.296,1.294856,-2.149464,3.44432,,,,,,,,,,,,,,,,,,,,,,,,16.6796,0.0266,16.1968,0.007,16793912,15.6173,0.0119,15.1631,0.0028,16793912,16.0608,0.0083,15.6989,0.0035,16892216,15.6045,0.02,15.3272,0.0187,16793912,14.6998,0.0542,14.3473,0.0049,16793912,0.155964,J192324.81+210800.1,11.177,10.089,4.849,1.644,13.503,13.204,12.219,0.023,0.02,0.014,0.011,0.025,0.032,0.025,2905121201351028590,0.063959,9.519189,5.4310055,5.0631394,1
642,*,PN G055.4+16.0 ,Abell46,4585381817643702528,A,277.8275,26.9367,4.1,14.96,-0.23,0.28,-0.38,277.8275,26.9367,Gaia DR3 4585381817643702528,277.82745337844,26.93670042336,0.0173,0.0234,0.4042,0.0286,14.1349,-1.889,0.024,0.673,0.028,14.957651,0.018601,56,16049.4,697.027,23.0255,14.824893,0.047236,56,7538.68,368.532,20.456,15.054657,0.053211,1.205,-0.229764,-0.132758,-0.097006,,,,,,,,,,,,,,,,,,,,,,,,14.9135,0.0151,14.9513,0.0202,115000,15.2735,0.0145,15.2832,0.0149,115000,15.6159,0.0433,15.6581,0.0389,115000,15.7124,0.0405,15.7711,0.034,115000,15.4805,0.0522,15.5243,0.0487,115000,0.143303,J183118.58+265612.1,15.063,14.854,9.897,5.789,15.629,15.671,15.748,0.035,0.062,0.046,0.051,0.074,0.148,,2771127201351025372,0.250587,12.637935,9.356918,5.4433475,0
644,*,PN G055.6+02.1 ,Hen1-2,2018024881202947200,B,291.6573,21.1575,0.19,15.28,1.46,2.69,0.12,291.6573,21.1575,Gaia DR3 2018024881202947200,291.65725395984,21.15746764742,0.0153,0.0187,0.0993,0.0262,3.7955,-3.37,0.025,-3.622,0.026,15.283529,0.003693,60,8457.5,65.8626,128.411,15.520437,0.008904,59,18834.4,87.9481,214.154,14.060516,0.006324,1.881,1.459921,0.236908,1.223013,,,,,,,,,,,,,,,,,,,,,,,,16.1348,0.0224,16.0576,0.0038,16892216,14.9747,0.0033,14.2855,0.0037,16892216,14.8137,0.0019,14.7533,0.0287,16892216,14.5954,0.0194,14.4125,0.0134,16892216,14.1928,0.0153,14.0486,0.0238,16892216,0.18073,J192637.75+210927.0,10.982,10.414,5.041,0.665,12.853,12.544,12.081,0.023,0.02,0.015,0.011,0.027,0.03,0.031,2921121201351036169,0.005589,9.567016,8.30567,4.747812,-1
647,*,PN G056.1-03.8 ,RaMul2,1821559921653783552,A,297.4738,18.6708,0.28,15.6,0.31,1.22,-0.35,297.4738,18.6708,Gaia DR3 1821559921653783552,297.47376362928,18.67076781228,0.023,0.024,0.1078,0.0348,3.0947,-1.792,0.033,-3.681,0.032,15.600908,0.00288,44,7040.32,17.5402,401.382,15.719561,0.003886,45,5416.87,12.0264,450.416,15.413525,0.004483,1.15,0.306036,0.118652,0.187384,,,,,,,,,,,,,,,,,,,,,,,,15.8874,0.0024,15.8882,0.0034,115000,15.5299,0.0032,15.565,0.0056,115000,15.7406,0.005,15.7947,0.0049,115000,15.801,0.0039,15.8588,0.0061,115000,15.6492,0.0052,15.6698,0.0089,115000,0.1687,J194953.75+184014.1,13.082,12.33,7.27,2.776,14.977,14.786,14.235,0.044,0.031,0.016,0.021,0.031,0.063,0.055,2981118101351066789,0.879469,11.705072,8.331604,4.6642423,0
650, ,PN G056.8-06.9 ,K3-51,1821791540605697152,A,300.6514,17.6141,0.08,17.23,-0.06,0.48,-0.33,300.6514,17.6141,Gaia DR3 1821791540605697152,300.6514163894,17.61410947917,0.0562,0.0542,0.172,0.0837,2.0539,-3.45,0.082,-6.663,0.078,17.229673,0.004109,43,4261.01,37.3928,113.953,16.264761,0.009928,44,2339.04,8.84779,264.365,16.3253,0.005581,2.732,-0.060539,-0.964912,0.904373,,,,,,,,,,,,,,,,,,,,,,,,16.5946,0.0452,14.7024,0.0054,16892216,16.7128,0.0619,15.2011,0.0074,16892216,17.3106,0.0115,16.0469,0.0032,16892216,17.3993,0.0253,16.1316,0.0084,16892216,17.269,0.0247,15.823,0.0076,16892216,0.217128,J200236.33+173650.6,13.266,11.874,7.491,3.329,16.358,14.839,14.512,0.026,0.022,0.016,0.02,0.156,,,3013118101351011601,0.062761,11.634268,7.2771726,4.3229017,0
651, ,PN G056.9-11.7 ,Pa26,1805339376318567040,A,304.9423,15.2353,0.11,16.91,-0.3,0.3,-0.47,304.9423,15.2353,Gaia DR3 1805339376318567040,304.94232966892,15.2353284935,0.0525,0.048,-0.0824,0.0742,-1.1106,-4.434,0.077,-5.614,0.071,16.906971,0.002922,36,2679.92,13.679,195.915,16.768238,0.006205,37,1179.45,13.6587,86.3518,17.068697,0.013129,1.187,-0.300459,-0.138733,-0.161726,,,,,,17075.1,17023.1,17099.8,4.5956,4.5936,4.597,-0.9947,-0.9984,-0.9857,17339.805,17286.332,17361.979,0.0016,0.0004,0.0034,0.0009,0.0002,0.0019,16.7423,0.0023,16.3593,0.0046,16892216,17.1296,0.0045,16.7284,0.0189,16892216,17.4548,0.0109,17.4338,0.0125,16892216,17.7229,0.0112,17.7583,0.0073,115000,17.8819,0.0188,17.9798,0.0531,115000,0.147055,J201946.23+151408.6,15.555,15.554,12.027,6.703,16.489,16.086,15.958,0.043,0.101,0.277,0.072,0.113,0.186,,3052115101351037083,1.997826,12.60569,9.114804,5.390646,0
653, ,PN G057.2-08.9 ,NGC6879,1809552460055588608,A,302.6112,16.9225,0.14,14.66,-0.02,0.71,-0.41,302.6112,16.9225,Gaia DR3 1809552460055588608,302.61120424322,16.92254647818,0.0272,0.023,0.125,0.0399,3.136,-3.576,0.04,-6.549,0.031,14.659018,0.003908,56,54016.5,532.237,101.49,13.507225,0.011056,55,30885.7,179.976,171.61,13.523501,0.00737,3.293,-0.016276,-1.151793,1.135516,,,,,,,,,,,,,,,,,,,,,,,,13.3875,0.0718,12.6294,0.004,16892216,14.0655,0.0177,13.1625,0.0029,16892216,14.4702,0.0264,13.8324,0.0201,16892216,14.4833,0.0154,13.8384,0.0057,16892216,14.1817,0.0161,13.3531,0.0098,16892216,0.172832,J201026.68+165521.0,11.375,10.736,5.711,2.023,12.803,12.527,12.176,0.022,0.02,0.013,0.013,0.026,0.027,0.031,3018116601351053967,0.074544,12.35961,7.4951143,4.9380054,0
656, ,PN G057.9+01.7 ,K4-30,2019455895594998784,B,293.2876,22.976,0.11,20.09,2.46,2.99,1.21,293.2876,22.976,Gaia DR3 2019455895594998784,293.28759867635,22.97599505413,0.3448,0.4348,0.5529,0.6022,0.9182,-2.732,0.479,-3.362,0.673,20.086876,0.006903,41,324.524,5.18267,62.6171,19.060425,0.017562,45,1815.49,7.5914,239.151,16.60041,0.005907,12.309,2.460014,-1.026451,3.486465,,,,,,,,,,,,,,,,,,,,,,,,20.6077,0.0355,19.7694,0.0415,16892216,18.3119,0.1291,17.5376,0.0412,16892216,18.1594,0.016,17.7805,0.0208,16892216,16.8912,0.0657,16.4884,0.0225,16892216,16.1848,0.0245,15.0678,0.0021,16892216,0.039025,J193309.04+225833.5,11.687,10.761,5.628,2.261,14.734,14.179,12.941,0.056,0.035,0.017,0.016,0.053,0.063,0.043,2932122701351044256,0.276824,7.462234,6.6176133,5.6863427,4
658, ,PN G057.9-01.5 ,Hen2-447,1827414443108647168,B,296.3423,21.3344,0.1,17.75,1.56,2.27,0.48,296.3423,21.3344,Gaia DR3 1827414443108647168,296.34233877215,21.33440814381,0.2321,0.2891,1.03,0.344,2.9945,-2.093,0.321,-3.371,0.371,17.74623,0.017097,33,5924.43,73.5279,80.5738,15.906926,0.013761,34,14461.6,68.1744,212.126,14.347357,0.006362,13.579,1.559569,-1.839303,3.398872,,,,,,,,,,,,,,,,,,,,,,,,16.7451,0.0109,16.4835,0.0027,16892216,15.2105,0.0162,14.9139,0.0032,16892216,15.4823,0.0044,15.2188,0.0021,16892216,15.1984,0.011,14.929,0.0042,16892216,14.2003,0.0125,13.9022,0.0023,16892216,0.149146,J194522.15+212003.8,9.802,8.555,2.964,-0.25,12.803,12.282,11.211,0.022,0.02,0.015,0.008,0.029,0.033,0.025,2970121201351036648,0.103602,8.570041,5.5191135,5.413279,1
659,*,PN G057.9-09.8 ,Alves6,1809885066631267072,B,303.7916,17.0503,0.26,13.39,0.44,0.35,0.26,303.7916,17.0503,Gaia DR3 1809885066631267072,303.79164096884,17.0502914588,0.0127,0.0112,0.5967,0.0189,31.5079,-7.283,0.019,-0.517,0.015,13.388748,0.002769,48,52209.2,33.4336,1561.58,13.544174,0.002875,46,45251.0,19.1667,2360.92,13.108826,0.003807,1.173,0.435349,0.155426,0.279922,,,,,,11601.0,11589.5,11608.5,4.4916,4.4898,4.4928,-0.4608,-0.4714,-0.4536,1418.3556,1416.604,1421.4136,1.0964,1.0954,1.0973,0.5521,0.5515,0.5525,13.5421,0.0026,13.5805,0.0012,115000,13.5324,0.0195,13.507,0.0085,16892216,13.4681,0.0049,13.5433,0.0022,115000,13.5194,0.0013,13.55,0.0013,115000,13.4955,0.0028,13.5173,0.0025,115000,0.158234,J201509.99+170300.9,12.466,12.387,10.636,7.255,12.786,12.685,12.605,0.024,0.023,0.091,0.102,0.021,0.027,0.026,3034116601351051377,0.20346,11.826881,9.602644,5.8665347,0
