idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,Catalogue,MajDiam,MinDiam,PAdiam,EPA,mainClass,subClass,tbRadioCont_Flux_3cm,tbRadioCont_Flux_6cm,tbRadioCont_Flux_11cm,tbRadioCont_Flux_13cm,tbRadioCont_Flux_20cm,tbRadioCont_Flux_36cm,tbRadioCont_Flux_2cm,tbIRFlux_Flux_J,tbIRFlux_Flux_H,tbIRFlux_Flux_Ks,tbIRFlux_Flux_8um,tbIRFlux_Flux_12um,tbIRFlux_Flux_22um,tbIRFlux_Flux_24um,tbIRFlux_Flux_25um,tbIRFlux_Flux_60um,tbIRFlux_Flux_70um,tbIRFlux_Flux_100um,tbIRFlux_Flux_160um,tbIRFlux_Flux_250um,tbIRFlux_Flux_350um,tbIRFlux_Flux_500um,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000_x,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
5673,001.0-02.0,MGE001.0098-02.0666,T,17:56:06.3,-29:07:34.00,269.02625,-29.12611,1.0096,-2.06636,2010AJ....139.1542M,18.0,,,,E,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4056542116661761408,269.02635450925,-29.12594754459,0.005,0.002,56.0,1636148068921376768,4056542116661761408,957555464,3.9807,3.0279,,,,,,,,,0.6965,,,,,,,,,,179,0,174,5,38.5375,2325.0,12.132,116.92,3,false,,,,,,,,,21,9,8.185989,21,0.5616,174.4,4,0,,0,172,327.7984,4.33192,75.6705,19.39835,0.01461,6,96.585,20.4986,4.71178,20.376268,0.230447,10,404.934,42.1088,9.61639,18.229433,0.112968,1.53,0,0,0,1,0,2.146835,0.977919,1.168917,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,1.1E-5,2.1E-5,0.999546,,,,,,,,,,,,,,,,,,,,,,,269.02635450925,-29.12594754459,3.980707,3.027892,0.6965,0.670861
5701,001.8-00.4,MB 4515,P,17:51:54.55,-27:36:10.6,267.97729,-27.60294,1.85624,-0.49935,2010AJ....139.1542M,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4063669086488636928,267.97728159785,-27.6029453756,0.001,0.0,53.0,1636148068921376768,4063669086488636928,792094328,0.5984,0.4996,-0.679,0.5065,-1.3404,3.342,-0.152,0.739,-3.339,0.482,0.6685,0.0462,-0.5131,-0.5734,-0.2004,-0.5135,-0.8476,-0.1784,0.2079,0.6007,376,0,372,4,1.0139,415.88,0.375,0.11444,95,false,,1.3004,0.0985,0.022,-0.016,0.031,0.038,-0.066,43,16,1.235658,43,0.07133,2.883,1,0,1.037,0,368,193.75204,0.814707,237.818,19.969252,0.005332,31,53.5301,6.70482,7.98382,21.017048,0.136021,38,207.429,5.99308,34.6114,18.955723,0.031596,1.347,0,1,0,0,0,2.061325,1.047796,1.013529,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,,,,,,,,,,,,,,,,,,,,,,,267.97728236217,-27.6029305356,12.148051,8.132865,0.6137,0.033061
5702,003.2+01.8,MGE003.2610+01.8522,P,17:46:08.1,-25:11:17.02,266.53375,-25.18806,3.261,1.85233,2010AJ....139.1542M,15.0,,,,E,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4068018067278924032,266.53394471305,-25.1882656843,0.001,0.0,48.0,1636148068921376768,4068018067278924032,1564599171,0.5142,0.4876,-0.8733,0.8178,-1.0678,3.797,-3.17,0.543,-2.091,0.443,0.4439,-0.1927,-0.2223,-0.3634,-0.6463,0.0793,-0.8991,-0.4767,0.6799,-0.0493,256,0,255,1,-1.3784,262.91,0.0,0.0,95,false,,1.0615,0.0886,-0.128,-0.003,-0.087,0.029,-0.137,29,12,0.938587,29,0.03938,6.295,0,0,0.938,0,252,294.40737,1.1686,251.931,19.514996,0.005115,23,38.5658,4.21825,9.14259,21.373037,0.118789,26,385.211,7.82483,49.2293,18.283648,0.022376,1.439,0,0,0,1,0,3.08939,1.858042,1.231348,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,266.53396027993,-25.18825639254,8.810648,7.525474,-0.0291,0.975009
5708,358.9-01.9,MB 4403,P,17:50:51.13,-30:52:06.7,267.71304,-30.86853,358.92993,-1.96847,2010AJ....139.1542M,20.0,,,,E,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4055764113306052608,267.71299034831,-30.86853038092,0.0,0.0,55.0,1636148068921376768,4055764113306052608,774577836,0.3565,0.3088,-0.7524,0.4713,-1.5965,9.67,-6.417,0.457,-7.234,0.286,0.3838,-0.1323,-0.1785,-0.2442,-0.5242,0.1452,-0.809,-0.4479,0.4678,-0.0134,282,0,279,3,0.8744,345.11,0.633,0.91198,95,false,,1.1538,0.0659,-0.075,-0.042,0.194,-0.084,-0.142,32,15,0.662077,33,0.05176,103.9,1,21,1.036,0,267,394.88951,1.50036,263.197,19.196178,0.004961,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,267.71302357309,-30.86849823012,7.380723,4.834602,-0.0094,0.153432
5730,006.6-01.1,MB 4475,P,18:05:14.84,-23:47:09.3,271.31183,-23.78592,6.66372,-1.19645,2010AJ....139.1542M,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4066158445235426048,271.31182044124,-23.78590211214,0.002,0.001,48.0,1636148068921376768,4066158445235426048,697953295,1.8309,1.6695,1.543,1.9549,0.7893,2.205,-0.462,1.641,-2.156,1.3,0.8261,-0.4744,-0.1334,-0.7392,-0.605,-0.2303,-0.8384,-0.3806,0.5182,0.35,116,0,115,1,2.8868,166.91,2.763,2.3663,95,false,,1.41,0.262,-0.196,-0.268,0.195,0.022,0.107,13,9,3.036107,13,0.08975,179.9,0,0,1.199,0,106,145.15428,1.3703,105.929,20.282793,0.010614,3,37.5346,21.6094,1.73696,21.402462,0.625085,11,235.849,12.9551,18.2051,18.81631,0.059759,1.883,0,0,0,0,1,2.586151,1.119669,1.466482,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,271.3118226844,-23.78589253025,26.563438,22.21779,0.393,0.071683
5767,358.2+01.4,MGE 358.2600+01.4563,P,17:35:43.6,-29:38:21.98,263.93167,-29.63944,358.26005,1.45634,2010AJ....139.1542M,19.0,,,,E,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4058565153580197760,263.93162369738,-29.63953913502,0.0,0.0,76.0,1636148068921376768,4058565153580197760,714454089,0.2746,0.2113,-0.3624,0.3035,-1.1941,10.122,-2.587,0.386,-9.786,0.272,0.1408,-0.038,-0.0647,-0.0822,-0.3106,-0.1236,-0.4293,6.0E-4,0.1675,0.276,299,0,297,2,6.1361,506.38,1.547,7.4712,95,false,,1.2883,0.0628,-0.001,-0.04,-0.003,0.032,0.109,34,17,0.553203,34,0.02134,139.8,0,0,1.264,0,296,508.3,1.77692,286.056,18.922066,0.00469,29,70.6235,6.71134,10.523,20.71617,0.103215,28,765.273,16.4401,46.5493,17.538355,0.023629,1.644,0,0,0,0,0,3.177814,1.794104,1.383711,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,3905.5,3865.8,3942.1,4.1308,4.1095,4.1742,-1.5315,-1.616,-1.4661,460.428,440.3926,480.4514,4.8994,4.812,4.9818,3.1707,3.1097,3.2272,1.7819,1.7495,1.8135,MARCS,263.93163692597,-29.63949564306,6.193338,4.451713,0.2788,0.385172
5810,306.9-00.7,[GKF2010] MN12,P,13:27:17.8,-63:19:28.09,201.82437,-63.32447,306.9438,-0.73239,2010MNRAS.405.1047G,45.0,30.0,,,S,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 5865160167931372672,201.82433871046,-63.32441456613,0.0,0.0,82.0,1636148068921376768,5865160167931372672,1195480310,0.3606,0.3203,-0.81,0.4652,-1.741,5.146,-4.984,0.402,-1.28,0.352,0.0322,-0.2517,-0.4987,-0.0151,0.0459,0.1764,0.0769,0.3305,0.2446,0.2653,259,0,257,2,1.1781,348.45,1.693,4.0853,95,false,,0.8917,0.0944,-0.08,-0.177,-0.022,-0.143,0.042,30,18,0.638045,46,0.02789,107.0,0,50,1.052,0,318,303.80319,1.22396,248.214,19.480886,0.00517,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,201.82438805251,-63.32440887605,6.61624,5.623339,0.2496,0.205869
5816,321.0-00.6,[GKF2010] MN18,L,15:16:41.0,-58:22:26.00,229.17083,-58.37389,321.02389,-0.69923,2010MNRAS.405.1047G,20.0,,,,B,m;,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 5877088151005347072,229.17079404657,-58.37389309565,0.0,0.0,148.0,1636148068921376768,5877088151005347072,41499490,0.012,0.0143,0.1714,0.0192,8.9176,6.239,-5.156,0.019,-3.514,0.022,-0.3523,-0.0662,-0.101,-0.1847,0.0392,-0.1694,0.0346,0.1174,-0.0346,-0.2501,395,395,393,2,-1.1114,944.0,0.119,15.99,31,true,1.274,,,,,,,,45,20,0.032922,53,0.01722,1.992,4,0,0.96,0,455,245477.06022,187.423,1309.75,12.212339,0.002877,48,49281.8,107.071,460.274,13.606826,0.003654,49,302043.0,783.443,385.533,11.047722,0.004713,1.431,0,1,0,1,0,2.559104,1.394486,1.164618,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,1.0,7115.4,6969.6,7233.2,1.9352,1.9032,1.9704,-0.8699,-0.913,-0.8043,3216.7986,3074.6257,3344.007,5.2725,5.1972,5.3357,3.9921,3.9189,4.0506,2.2527,2.2072,2.2886,MARCS,229.17083774623,-58.37387747955,0.307715,0.359678,-0.2357,0.06878
5836,001.4+00.5,[GKF2010] MN66,P,17:47:05.2,-27:25:33.49,266.77171,-27.42597,1.45824,0.50869,2010MNRAS.405.1047G,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 4060739369060593152,266.77174312908,-27.42611335985,0.0,0.0,62.0,1636148068921376768,4060739369060593152,387006362,0.1164,0.0872,0.5432,0.1228,4.424,4.441,-1.902,0.14,-4.013,0.083,0.4427,-0.3439,-0.1391,-0.3053,-0.3764,-0.1549,-0.7251,-0.141,0.3087,0.3313,378,0,378,0,-2.0611,333.89,0.0,4.1624E-15,31,false,1.281,,,,,,,,43,17,0.202442,43,0.04262,168.7,0,0,0.925,0,373,1350.15297,1.43438,941.281,17.86141,0.002987,37,291.726,6.99343,41.7142,19.176105,0.026177,37,1581.97,7.00831,225.727,16.749903,0.006117,1.388,0,0,0,1,0,2.426203,1.314695,1.111507,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,5040.2,4978.7,5095.5,4.675,4.6574,4.6922,-0.8969,-1.0053,-0.7634,559.5581,541.6224,579.8354,3.7038,3.6517,3.7478,2.6658,2.6228,2.7019,1.4761,1.4515,1.4981,MARCS,266.77175265377,-27.42609552351,2.257997,1.396808,0.3393,0.52684
8186,022.2+00.9,IRAS 18257-0908,T,18:28:29.0,-09:06:11.84,277.12095,-9.10329,22.22114,0.901,1995AJ....110.2225K,,,,,S,,,21.38,,,15.0,,,,,,,,,,,,,,,,,,Gaia DR3 4156149211359545984,277.12103059086,-9.10333011427,0.001,0.001,46.0,1636148068921376768,4156149211359545984,890532409,1.1638,1.1322,-1.7131,1.1207,-1.5287,3.52,0.621,1.299,-3.464,1.255,0.6696,-0.3428,-0.3223,-0.4552,-0.3799,-0.3509,-0.5016,-0.1154,0.1894,0.6452,168,0,158,10,4.4635,280.93,4.775,7.8999,95,false,,1.0569,0.2544,-0.006,-0.119,0.227,-0.069,0.017,20,14,2.424339,20,0.4097,113.2,0,0,1.264,1,167,147.45282,3.56896,41.3154,20.265734,0.026423,10,73.4449,14.8965,4.93035,20.673637,0.220233,12,757.477,18.7573,40.3831,17.54947,0.02715,5.635,0,10,0,12,0,3.124166,0.407904,2.716263,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999986,,,,,,,,,,,,,,,,,,,,,,,277.12102779713,-9.10331471704,21.1937,20.67012,0.66,0.320814
